
Perfect Digital Audio Extraction



Each CD drive reads audio discs slightly out (a number of samples), if your CD drive supports 'Accurate Stream' it will be a constant value, this value tends to be the same for each particular make and model of CD Drive. A small number of drives have [Purged] as the offset, these drives were found not to have a constant drive offset (perhaps different manufacturing batches, or firmwares), as such they have been removed from AccurateRip's drive database (should you have one of these drives, 3 matching key disks will be required to configure AccurateRip).?
This list contains submitted drive read offsets in a format compatible with dBpowerAMP Music Converter (dMC) and Exact Audio Copy (EAC). Contribute your offset by easily configuring AccurateRip on your CD drives - www.accuraterip.com?

Information: JLMS drives are listed as Lite-ON,?? HL-DT-ST as LG Electronics? &? Matshita as Panasonic

CD Drive	Correction Offset	Submitted By	Percentage Agree
LG Electronics - BD-RE BH10LS38	+667	55	100%
LG Electronics - BD-RE BH10NS30	+667	96	100%
LG Electronics - BD-RE BH10NS38	+667	7	100%
LG Electronics - BD-RE BH12LS30	+667	4	100%
LG Electronics - BD-RE BH12LS35	+667	37	100%
LG Electronics - BD-RE BH12LS38	+667	33	100%
LG Electronics - BD-RE BH12NS30	+667	31	100%
LG Electronics - BD-RE BH12NS38	+667	2	100%
LG Electronics - BD-RE BH14NS40	+6	1	100%
LG Electronics - BD-RE BH20F	+667	3	100%
LG Electronics - BD-RE BH20N	+667	42	100%
LG Electronics - BD-RE BH30N	+667	32	100%
LG Electronics - BD-RE GBW-B10N	+667	19	100%
LG Electronics - BD-RE GBW-H10N	+667	10	100%
LG Electronics - BD-RE GBW-H20L	+667	46	100%
LG Electronics - BD-RE GBW-T10N	+667	1	100%
LG Electronics - BD-RE GGW-H20L	+667	860	100%
LG Electronics - BD-RE GGW-H20N	+667	53	100%
LG Electronics - BD-RE UH10LS20	+667	38	100%
LG Electronics - BD-RE UH12LS28	+667	4	100%
LG Electronics - BD-RE WH08LS20	+667	26	100%
LG Electronics - BD-RE WH10LS30	+667	166	100%
LG Electronics - BD-RE WH12LS30	+667	31	100%
LG Electronics - BD-RE WH12LS38	+667	14	100%
LG Electronics - BD-RE WH12LS39	+667	11	100%
LG Electronics - BD-RE BP06LU10	+667	10	100%
LG Electronics - BD-RE BP06LU11	+667	1	100%
LG Electronics - BD-RE BP40NS20	+667	2	100%
LG Electronics - BD-RE BT10F	+667	3	100%
LG Electronics - BD-RE BT10N	+667	9	100%
LG Electronics - BD-RE BT11F	+667	3	100%
LG Electronics - BD-RE_BT20N	+667	1	100%
LG Electronics - BDDVDRW CA10N	+667	2	100%
LG Electronics - BDDVDRW CA21N	+102	1	100%
LG Electronics - BDDVDRW CH08LS10	+667	269	100%
LG Electronics - BDDVDRW CH08NS10	+667	15	100%
LG Electronics - BDDVDRW CH10F	+667	2	100%
LG Electronics - BDDVDRW CH10L	+667	18	100%
LG Electronics - BDDVDRW CH10LS20	+667	202	100%
LG Electronics - BDDVDRW CH10LS28	+667	7	100%
LG Electronics - BDDVDRW CH10N	+667	8	100%
LG Electronics - BDDVDRW CH10NS20	+667	2	100%
LG Electronics - BDDVDRW CH12LS28	+667	10	100%
LG Electronics - BDDVDRW CH20N	+667	3	100%
LG Electronics - BDDVDRW CT10L	+667	38	100%
LG Electronics - BDDVDRW CT10N	+667	79	100%
LG Electronics - BDDVDRW CT21N	+102	47	100%
LG Electronics - BDDVDRW CT30F	+102	5	100%
LG Electronics - BDDVDRW CT30N	+102	17	100%
LG Electronics - BDDVDRW CT30P	+102	4	100%
LG Electronics - BDDVDRW CT31F	+102	3	100%
LG Electronics - BDDVDRW CT40N	+102	1	100%
LG Electronics - BDDVDRW GBC-H20L	+667	112	100%
LG Electronics - BDDVDRW GBC-H20N	+667	14	100%
LG Electronics - BDDVDRW GGC-H20L	+667	1078	100%
LG Electronics - BDDVDRW GGC-H20N	+667	109	100%
LG Electronics - BDDVDRW UH08LS10	+667	16	100%
LG Electronics - BDDVDRW UH10LS20	+667	1	100%
LG Electronics - BDDVDRW UH12LS28	+667	4	100%
LG Electronics - BDDVDRW UH12LS29	+667	3	100%
LG Electronics - CD-ROM CRD-8484B	-491	1	100%
LG Electronics - CD-ROM GCR-8240N	+687	8	100%
LG Electronics - CD-ROM GCR-8480B	-491	39	100%
LG Electronics - CD-ROM GCR-8481B	-24	53	100%
LG Electronics - CD-ROM GCR-8483B	-24	78	100%
LG Electronics - CD-ROM GCR-8485B	-24	7	100%
LG Electronics - CD-ROM GCR-8486B	+6	1	100%
LG Electronics - CD-ROM GCR-8520B	-491	50	100%
LG Electronics - CD-ROM GCR-8521B	-24	31	100%
LG Electronics - CD-ROM GCR-8522B	-489	7	100%
LG Electronics - CD-ROM GCR-8523B	-24	84	100%
LG Electronics - CD-ROM GCR-8525B	-24	10	100%
LG Electronics - CD-ROM GCR-8526B	+6	7	100%
LG Electronics - CD-ROM GCR-H10N	+6	1	100%
LG Electronics - CD-RW GCE-8080N	+733	9	100%
LG Electronics - CD-RW GCE-8160B	+12	107	100%
LG Electronics - CD-RW GCE-8240B	+733	62	100%
LG Electronics - CD-RW GCE-8320B	+12	124	100%
LG Electronics - CD-RW GCE-8321B	+12	1	100%
LG Electronics - CD-RW GCE-8400B	+12	229	100%
LG Electronics - CD-RW GCE-8480B	+6	46	100%
LG Electronics - CD-RW GCE-8481B	+6	182	100%
LG Electronics - CD-RW GCE-8483B	+6	177	100%
LG Electronics - CD-RW GCE-8486B	+6	11	100%
LG Electronics - CD-RW GCE-8487B	+6	61	100%
LG Electronics - CD-RW GCE-8520B	+6	184	100%
LG Electronics - CD-RW GCE-8522B	+689	4	100%
LG Electronics - CD-RW GCE-8523B	+6	72	100%
LG Electronics - CD-RW GCE-8523BS	+6	2	100%
LG Electronics - CD-RW GCE-8524B	+689	3	100%
LG Electronics - CD-RW GCE-8525B	+6	191	100%
LG Electronics - CD-RW GCE-8526B	+6	170	100%
LG Electronics - CD-RW GCE-8527B	+6	110	100%
LG Electronics - CDRW-DVD GCC4244	+102	197	100%
LG Electronics - CDRW-DVD GCC4247	+102	5	100%
LG Electronics - CDRW-DVD GCC4482	+6	84	100%
LG Electronics - CDRW-DVD GCCH10N	+6	38	100%
LG Electronics - CDRW-DVD GCCH30N	+6	6	100%
LG Electronics - CDRW-DVD GCCT10N	+102	48	100%
LG Electronics - CDRW-DVD GCCT20N	+102	1	100%
LG Electronics - CDRWDVD MU10N	+102	20	100%
LG Electronics - DVD RAM GSA-T20L	+667	1	100%
LG Electronics - DVD+-RW GA10N	+667	43	100%
LG Electronics - DVD+-RW GA11N	+667	41	100%
LG Electronics - DVD+-RW GA31N	+103	63	100%
LG Electronics - DVD+-RW GH30N	+102	135	100%
LG Electronics - DVD+-RW GH50N	+667	230	100%
LG Electronics - DVD+-RW GH70N	+667	20	100%
LG Electronics - DVD+-RW GP60N	+103	1	100%
LG Electronics - DVD+-RW GS20N	+667	66	100%
LG Electronics - DVD+-RW GS30N	+667	34	100%
LG Electronics - DVD+-RW GSA-H21L	+102	55	100%
LG Electronics - DVD+-RW GSA-H21N	+102	120	100%
LG Electronics - DVD+-RW GSA-H31L	+102	65	100%
LG Electronics - DVD+-RW GSA-H31N	+102	230	100%
LG Electronics - DVD+-RW GSA-H53L	+102	3	100%
LG Electronics - DVD+-RW GSA-H53N	+102	33	100%
LG Electronics - DVD+-RW GSA-H73N	+102	260	100%
LG Electronics - DVD+-RW GSA-S10N	+667	28	100%
LG Electronics - DVD+-RW GSA-T11N	+667	287	100%
LG Electronics - DVD+-RW GSA-T21N	+667	262	100%
LG Electronics - DVD+-RW GSA-T40N	+667	8	100%
LG Electronics - DVD+-RW GSA-U10N	+667	6	100%
LG Electronics - DVD+-RW GSA-U20N	+667	38	100%
LG Electronics - DVD+-RW GT10N	+102	82	100%
LG Electronics - DVD+-RW GT30N	+103	22	100%
LG Electronics - DVD+-RW GT32N	+103	50	100%
LG Electronics - DVD+-RW GT50N	+103	10	100%
LG Electronics - DVD+-RW GT60N	+103	3	100%
LG Electronics - DVD+-RW GU10N	+667	40	100%
LG Electronics - DVD+-RW GU40N	+103	40	100%
LG Electronics - DVD+-RW GWA4040N	+48	21	100%
LG Electronics - DVD+-RW GWA4083N	+667	13	100%
LG Electronics - DVD+-RW GWA4164B	+102	191	100%
LG Electronics - DVD+-RW GX10N	+667	7	100%
LG Electronics - DVD+RW GCA-4040N	+48	111	100%
LG Electronics - DVD+RW GRA-4120B	+667	23	100%
LG Electronics - DVD-RAM GH10L	+667	166	100%
LG Electronics - DVD-RAM GH10N	+667	18	100%
LG Electronics - DVD-RAM GH15L	+667	106	100%
LG Electronics - DVD-RAM GH20LP20	+102	14	100%
LG Electronics - DVD-RAM GH22LP20	+102	588	100%
LG Electronics - DVD-RAM GH22LP21	+102	7	100%
LG Electronics - DVD-RAM GH22LS30	+102	482	100%
LG Electronics - DVD-RAM GH22NP20	+102	1025	100%
LG Electronics - DVD-RAM GH22NP21	+102	50	100%
LG Electronics - DVD-RAM GH22NS30	+102	816	100%
LG Electronics - DVD-RAM GH40L	+667	115	100%
LG Electronics - DVD-RAM GH40N	+667	16	100%
LG Electronics - DVD-RAM GH60N	+667	14	100%
LG Electronics - DVD-RAM GH70N	+667	1	100%
LG Electronics - DVD-RAM GSA-E20N	+102	12	100%
LG Electronics - DVD-RAM GSA-E60L	+102	153	100%
LG Electronics - DVD-RAM GSA-E60N	+102	109	100%
LG Electronics - DVD-RAM GSA-H20L	+102	291	100%
LG Electronics - DVD-RAM GSA-H20N	+102	42	100%
LG Electronics - DVD-RAM GSA-H22L	+102	173	100%
LG Electronics - DVD-RAM GSA-H22N	+102	243	100%
LG Electronics - DVD-RAM GSA-H30N	+102	124	100%
LG Electronics - DVD-RAM GSA-H40N	+667	12	100%
LG Electronics - DVD-RAM GSA-H50L	+102	124	100%
LG Electronics - DVD-RAM GSA-H50N	+102	33	100%
LG Electronics - DVD-RAM GSA-H54L	+102	109	100%
LG Electronics - DVD-RAM GSA-H54N	+102	139	100%
LG Electronics - DVD-RAM GSA-H55L	+102	548	100%
LG Electronics - DVD-RAM GSA-H55N	+102	942	100%
LG Electronics - DVD-RAM GSA-H58N	+102	310	100%
LG Electronics - DVD-RAM GSA-H60L	+667	96	100%
LG Electronics - DVD-RAM GSA-H60N	+667	23	100%
LG Electronics - DVD-ROM DH10N	+102	40	100%
LG Electronics - DVD-ROM DH16NS10	+102	101	100%
LG Electronics - DVD-ROM DH20N	+6	17	100%
LG Electronics - DVD-ROM DH30N	+6	6	100%
LG Electronics - DVD-ROM DH40N	+6	4	100%
LG Electronics - DVD-ROM DU10N	+102	20	100%
LG Electronics - DVD-ROM DU20N	+667	1	100%
LG Electronics - DVD-ROM DU30N	+103	3	100%
LG Electronics - DVD-ROM GDR-D10N	+102	2	100%
LG Electronics - DVD-ROM GDR-H30N	+6	202	100%
LG Electronics - DVD-ROM GDR-R10N	+102	1	100%
LG Electronics - DVD-ROM GDR-T10N	+102	3	100%
LG Electronics - DVD-ROM GDR-T20N	+102	6	100%
LG Electronics - DVD-ROM GDR8081N	+667	54	100%
LG Electronics - DVD-ROM GDR8082N	+102	103	100%
LG Electronics - DVD-ROM GDR8083N	+102	56	100%
LG Electronics - DVD-ROM GDR8084N	+102	27	100%
LG Electronics - DVD-ROM GDR8085N	+102	3	100%
LG Electronics - DVD-ROM GDR8087N	+102	14	100%
LG Electronics - DVD-ROM GDR8160B	+102	89	100%
LG Electronics - DVD-ROM GDR8161B	+102	386	100%
LG Electronics - DVD-ROM GDR8162B	+102	621	100%
LG Electronics - DVD-ROM GDR8163B	+102	1034	100%
LG Electronics - DVD-ROM GDR8164B	+102	1014	100%
LG Electronics - DVD-ROM GDRH10N	+102	147	100%
LG Electronics - DVD-ROM GDRH20N	+102	342	100%
LG Electronics - DVD-RW GCA-4020B	+667	1	100%
LG Electronics - DVD-RW GCA-4080N	+667	104	100%
LG Electronics - DVD-RW GH41N	+667	42	100%
LG Electronics - DVD-RW GH61N	+667	8	100%
LG Electronics - DVD-RW GRA-4082N	+667	3	100%
LG Electronics - DVD-RW GSA-H11N	+667	39	100%
LG Electronics - DVD-RW GSA-H60L	+667	121	100%
LG Electronics - DVD-RW GSA-T11N	+667	1	100%
LG Electronics - DVD-RW GWA-4040B	+667	4	100%
LG Electronics - DVD-RW GWA-4040N	+48	38	100%
LG Electronics - DVD-RW GWA-4080N	+667	74	100%
LG Electronics - DVD-RW GWA-4082B	+667	2	100%
LG Electronics - DVD-RW GWA-4082N	+667	245	100%
LG Electronics - DVD-RW GWA-4160B	+667	34	100%
LG Electronics - DVD-RW GWA-4163B	+667	15	100%
LG Electronics - DVD-RW GWA-4165B	+667	42	100%
LG Electronics - DVD-RW_GSA-H11N	+667	51	100%
LG Electronics - DVD-RW_GSA-H41N	+667	66	100%
LG Electronics - DVDRAM GA10F	+667	16	100%
LG Electronics - DVDRAM GA10N	+667	9	100%
LG Electronics - DVDRAM GA31N	+103	3	100%
LG Electronics - DVDRAM GDA-4040B	+667	3	100%
LG Electronics - DVDRAM GDA-4120B	+667	2	100%
LG Electronics - DVDRAM GE20LU10	+667	204	100%
LG Electronics - DVDRAM GE20LU11	+667	53	100%
LG Electronics - DVDRAM GE20NU10	+667	115	100%
LG Electronics - DVDRAM GE20NU11	+667	40	100%
LG Electronics - DVDRAM GE24LU20	+667	36	100%
LG Electronics - DVDRAM GE24LU21	+667	6	100%
LG Electronics - DVDRAM GE24NU21	+667	12	100%
LG Electronics - DVDRAM GE24NU30	+667	1	100%
LG Electronics - DVDRAM GH10L	+667	1	100%
LG Electronics - DVDRAM GH10N	+667	52	100%
LG Electronics - DVDRAM GH15F	+667	194	100%
LG Electronics - DVDRAM GH20LS10	+667	128	100%
LG Electronics - DVDRAM GH20LS15	+667	130	100%
LG Electronics - DVDRAM GH20NS10	+667	961	100%
LG Electronics - DVDRAM GH20NS15	+667	379	100%
LG Electronics - DVDRAM GH22LS40	+667	122	100%
LG Electronics - DVDRAM GH22LS50	+667	441	100%
LG Electronics - DVDRAM GH22LS51	+667	6	100%
LG Electronics - DVDRAM GH22LS70	+667	4	100%
LG Electronics - DVDRAM GH22NS40	+667	857	100%
LG Electronics - DVDRAM GH22NS50	+667	1361	100%
LG Electronics - DVDRAM GH22NS51	+667	4	100%
LG Electronics - DVDRAM GH22NS70	+667	132	100%
LG Electronics - DVDRAM GH22NS90	+6	21	100%
LG Electronics - DVDRAM GH24LS50	+667	111	100%
LG Electronics - DVDRAM GH24LS70	+667	27	100%
LG Electronics - DVDRAM GH24NS50	+667	247	100%
LG Electronics - DVDRAM GH24NS70	+667	93	100%
LG Electronics - DVDRAM GH24NS90	+6	10	100%
LG Electronics - DVDRAM GH40F	+667	113	100%
LG Electronics - DVDRAM GH40L	+667	2	100%
LG Electronics - DVDRAM GH40N	+667	74	100%
LG Electronics - DVDRAM GH41N	+667	107	100%
LG Electronics - DVDRAM GH50N	+667	3	100%
LG Electronics - DVDRAM GH60N	+667	66	100%
LG Electronics - DVDRAM GH70N	+667	19	100%
LG Electronics - DVDRAM GMA-4020B	+667	57	100%
LG Electronics - DVDRAM GMA-4040B	+667	1	100%
LG Electronics - DVDRAM GMA-4080N	+667	56	100%
LG Electronics - DVDRAM GMA-4082N	+667	614	100%
LG Electronics - DVDRAM GMA-4084N	+667	15	100%
LG Electronics - DVDRAM GMA4082Nf	+667	2	100%
LG Electronics - DVDRAM GMA4082Nj	+667	8	100%
LG Electronics - DVDRAM GP08LU10	+667	100	100%
LG Electronics - DVDRAM GP08LU11	+667	29	100%
LG Electronics - DVDRAM GP08LU30	+103	5	100%
LG Electronics - DVDRAM GP08NU10	+667	43	100%
LG Electronics - DVDRAM GP08NU11	+667	4	100%
LG Electronics - DVDRAM GP08NU20	+102	95	100%
LG Electronics - DVDRAM GP08NU30	+103	3	100%
LG Electronics - DVDRAM GP08NU40	+667	8	100%
LG Electronics - DVDRAM GP08NU6B	+103	32	100%
LG Electronics - DVDRAM GP08NU6R	+103	1	100%
LG Electronics - DVDRAM GP08NU6W	+103	20	100%
LG Electronics - DVDRAM GP10NB20	+6	16	100%
LG Electronics - DVDRAM GP10NB21	+6	4	100%
LG Electronics - DVDRAM GP10NW20	+6	2	100%
LG Electronics - DVDRAM GP20N	+102	33	100%
LG Electronics - DVDRAM GP30NB20	+6	2	100%
LG Electronics - DVDRAM GP40LB10	+6	3	100%
LG Electronics - DVDRAM GP40NW10	+6	2	100%
LG Electronics - DVDRAM GS20F	+667	3	100%
LG Electronics - DVDRAM GS20N	+667	5	100%
LG Electronics - DVDRAM GS30N	+667	2	100%
LG Electronics - DVDRAM GSA-4040B	+667	464	100%
LG Electronics - DVDRAM GSA-4080N	+667	47	100%
LG Electronics - DVDRAM GSA-4081B	+667	247	100%
LG Electronics - DVDRAM GSA-4082B	+667	344	100%
LG Electronics - DVDRAM GSA-4082N	+667	122	100%
LG Electronics - DVDRAM GSA-4083N	+667	348	100%
LG Electronics - DVDRAM GSA-4084N	+667	264	100%
LG Electronics - DVDRAM GSA-4120B	+667	615	100%
LG Electronics - DVDRAM GSA-4160B	+667	464	100%
LG Electronics - DVDRAM GSA-4163B	+667	1989	100%
LG Electronics - DVDRAM GSA-4165B	+667	143	100%
LG Electronics - DVDRAM GSA-4167B	+667	1734	100%
LG Electronics - DVDRAM GSA-5120D	+667	33	100%
LG Electronics - DVDRAM GSA-5160D	+667	28	100%
LG Electronics - DVDRAM GSA-5163D	+667	119	100%
LG Electronics - DVDRAM GSA-E10L	+667	157	100%
LG Electronics - DVDRAM GSA-E10N	+667	55	100%
LG Electronics - DVDRAM GSA-E30L	+667	23	100%
LG Electronics - DVDRAM GSA-E30N	+667	3	100%
LG Electronics - DVDRAM GSA-E40L	+667	119	100%
LG Electronics - DVDRAM GSA-E40N	+667	92	100%
LG Electronics - DVDRAM GSA-E50L	+667	84	100%
LG Electronics - DVDRAM GSA-E50N	+667	21	100%
LG Electronics - DVDRAM GSA-E60N	+102	1	100%
LG Electronics - DVDRAM GSA-H10A	+667	367	100%
LG Electronics - DVDRAM GSA-H10L	+667	119	100%
LG Electronics - DVDRAM GSA-H10N	+667	943	100%
LG Electronics - DVDRAM GSA-H12L	+667	157	100%
LG Electronics - DVDRAM GSA-H12N	+667	355	100%
LG Electronics - DVDRAM GSA-H40N	+667	65	100%
LG Electronics - DVDRAM GSA-H42L	+667	463	100%
LG Electronics - DVDRAM GSA-H42N	+667	553	100%
LG Electronics - DVDRAM GSA-H44L	+667	46	100%
LG Electronics - DVDRAM GSA-H44N	+667	318	100%
LG Electronics - DVDRAM GSA-H60N	+667	68	100%
LG Electronics - DVDRAM GSA-H62L	+667	108	100%
LG Electronics - DVDRAM GSA-H62N	+667	663	100%
LG Electronics - DVDRAM GSA-H66N	+667	193	100%
LG Electronics - DVDRAM GSA-T10N	+667	472	100%
LG Electronics - DVDRAM GSA-T20F	+667	24	100%
LG Electronics - DVDRAM GSA-T20L	+667	422	100%
LG Electronics - DVDRAM GSA-T20N	+667	946	100%
LG Electronics - DVDRAM GSA-T30L	+667	34	100%
LG Electronics - DVDRAM GSA-T30N	+667	42	100%
LG Electronics - DVDRAM GSA-T40F	+667	10	100%
LG Electronics - DVDRAM GSA-T40L	+667	56	100%
LG Electronics - DVDRAM GSA-T40N	+667	315	100%
LG Electronics - DVDRAM GSA-T50F	+667	39	100%
LG Electronics - DVDRAM GSA-T50L	+667	207	100%
LG Electronics - DVDRAM GSA-T50N	+667	451	100%
LG Electronics - DVDRAM GSA-U10F	+667	2	100%
LG Electronics - DVDRAM GSA-U10N	+667	373	100%
LG Electronics - DVDRAM GSA-U20F	+667	1	100%
LG Electronics - DVDRAM GSA-U20N	+667	250	100%
LG Electronics - DVDRAM GT10N	+102	57	100%
LG Electronics - DVDRAM GT20F	+667	34	100%
LG Electronics - DVDRAM GT20L	+667	71	100%
LG Electronics - DVDRAM GT20N	+667	160	100%
LG Electronics - DVDRAM GT30F	+103	11	100%
LG Electronics - DVDRAM GT30N	+103	347	100%
LG Electronics - DVDRAM GT31N	+103	22	100%
LG Electronics - DVDRAM GT32N	+103	109	100%
LG Electronics - DVDRAM GT33N	+103	55	100%
LG Electronics - DVDRAM GT34N	+103	30	100%
LG Electronics - DVDRAM GT40N	+103	47	100%
LG Electronics - DVDRAM GT51N	+103	1	100%
LG Electronics - DVDRAM GT60N	+103	1	100%
LG Electronics - DVDRAM GU10N	+667	161	100%
LG Electronics - DVDRAM GU40N	+103	24	100%
LG Electronics - DVDRAM_GH10N	+667	13	100%
LG Electronics - DVDRAM_GH15N	+667	27	100%
LG Electronics - DVDRAM_GH40N	+667	3	100%
LG Electronics - DVDRAM_GSA-4165B	+667	9	100%
LG Electronics - DVDRAM_GSA-H10A	+667	1	100%
LG Electronics - DVDRAM_GSA-H10N	+667	29	100%
LG Electronics - DVDRAM_GSA-H40N	+667	16	100%
LG Electronics - DVDRAM_GSA-H60N	+667	63	100%
LG Electronics - DVDRAM_GSA-T10N	+667	3	100%
LG Electronics - DVDRAM_GSA-T20N	+667	82	100%
LG Electronics - DVDRAM_GSA-T50N	+667	26	100%
LG Electronics - DVDRAM_GT30N	+103	6	100%
LG Electronics - DVDROM DH16NS30	+6	37	100%
LG Electronics - DVDROM DH18NS40	+6	14	100%
LG Electronics - DVDROM DH20N	+6	3	100%
LG Electronics - DVDROM DH30N	+6	1	100%
LG Electronics - DVDROM DH40N	+6	9	100%
LG Electronics - DVDRRW GCA-4164B	+102	28	100%
LG Electronics - DVDRRW GCA-4166B	+102	16	100%
LG Electronics - DVDRRW GSA-2164D	+102	87	100%
LG Electronics - DVDRRW GSA-2166D	+102	109	100%
LG Electronics - DVDRRW GSA-4164B	+102	16	100%
LG Electronics - DVDRRW GSA-4166B	+102	119	100%
LG Electronics - DVDRRW GSA-5169D	+102	29	100%
LG Electronics - DVDRRW GSA-H20L	+102	85	100%
LG Electronics - DVDRRW GSA-H21L	+102	19	100%
LG Electronics - DVDRRW GSA-H21N	+102	1	100%
LG Electronics - DVDRRW GSA-H30L	+102	223	100%
LG Electronics - DVDRRW GWA-4083B	+102	35	100%
LG Electronics - DVDRRW GWA-4161B	+102	30	100%
LG Electronics - DVDRRW GWA-4162B	+102	9	100%
LG Electronics - DVDRRW GWA-4164B	+102	64	100%
LG Electronics - DVDRRW GWA-4166B	+102	55	100%
LG Electronics - DVDRW GA11N	+667	40	100%
LG Electronics - DVDRW GA32N	+103	50	100%
LG Electronics - DVDRW GS21N	+667	60	100%
LG Electronics - DVDRW GS22N	+667	3	100%
LG Electronics - DVDRW GS23N	+667	90	100%
LG Electronics - DVDRW GSA-S10N6	+667	2	100%
LG Electronics - DVDRW GSA-S10N	+667	148	100%
LG Electronics - DVDRW GX30N	+6	18	100%
LG Electronics - DVDRW GWA4080M	+667	6	100%
LG Electronics - DVDRW GWA4080MA	+667	17	100%
LG Electronics - DVDRW GWA4080MB	+667	4	100%
LG Electronics - DVDRWBD CA10N	+667	91	100%
LG Electronics - DVDRWBD CA30N	+102	6	100%
LG Electronics - DVDRWBD CH20N	+667	14	100%
LG Electronics - DVDRWBD CT10N	+667	9	100%
LG Electronics - DVDRWBD CT30N	+102	42	100%
LG Electronics - DVDRWBD CT40N	+102	3	100%
LG Electronics - DVDRWBD GBC-H20N	+667	37	100%
LG Electronics - GCE-8483B	0	2	100%
LG Electronics - LENOVO BURNER	+102	3	100%
LG Electronics - RW-DVD GCC-4080N	+733	6	100%
LG Electronics - RW-DVD GCC-4120B	+733	36	100%
LG Electronics - RW-DVD GCC-4160N	+102	15	100%
LG Electronics - RW-DVD GCC-4240N	+102	214	100%
LG Electronics - RW-DVD GCC-4241N	+102	284	100%
LG Electronics - RW-DVD GCC-4242N	+102	276	100%
LG Electronics - RW-DVD GCC-4243N	+102	143	100%
LG Electronics - RW-DVD GCC-4244N	+102	149	100%
LG Electronics - RW-DVD GCC-4246N	+102	56	100%
LG Electronics - RW-DVD GCC-4247N	+102	159	100%
LG Electronics - RW-DVD GCC-4320B	+6	85	100%
LG Electronics - RW-DVD GCC-4480B	+6	270	100%
LG Electronics - RW-DVD GCC-4481B	+6	206	100%
LG Electronics - RW-DVD GCC-4482B	+6	83	100%
LG Electronics - RW-DVD GCC-4520B	+6	57	100%
LG Electronics - RW-DVD GCC-4521B	+6	92	100%
LG Electronics - RW-DVD GCC-4522B	+6	34	100%
LG Electronics - RW-DVD GCC-4522C	+6	2	100%
LG Electronics - RW-DVD GCC-5241P	+102	1	100%
LG Electronics - RW-DVD GCC-C10N	+102	14	100%
LG Electronics - RW-DVD GCC-C20N	+102	1	100%
LG Electronics - RW-DVD GCC-H10N	+6	10	100%
LG Electronics - RW-DVD GCC-H20N	+6	7	100%
LG Electronics - RW-DVD GCC-H21N	+6	8	100%
LG Electronics - RW-DVD GCC-H23N	+6	5	100%
LG Electronics - RW-DVD GCC-H30N	+6	10	100%
LG Electronics - RW-DVD GCC-H31N	+6	1	100%
LG Electronics - RW-DVD GCC-M10N	+102	43	100%
LG Electronics - RW-DVD GCC-T10N	+102	26	100%
LG Electronics - RW-DVD GCC-T20N	+102	2	100%
LG Electronics - RW-DVD MU10N	+102	36	100%
LG Electronics - RW-DVD_GCC-4241N	+102	1	100%
LG Electronics - RW-DVD_GCC-4244N	+102	1	100%
LG Electronics - RW-DVD_GCC-T10N	+102	2	100%
LGHL-04P - LG HL-04P MT8575	+6	1	100%
LGHL-05P - LG HL-05P MT8575	+6	1	100%
Lite-ON - DVD-ROM LTD-165H	+12	44	100%
Lite-ON - DVD-ROM LTD-166S	+12	45	100%
Lite-ON - DVD-ROM LTD163	+594	3	100%
Lite-ON - DVD-ROM LTD163D	+594	6	100%
Lite-ON - DVD-ROM XJ-HD166	+12	127	100%
Lite-ON - XJ-HD163	+594	31	100%
Lite-ON - XJ-HD163D	+594	27	100%
Lite-ON - XJ-HD165H	+12	137	100%
Lite-ON - XJ-HD166S	+12	650	100%
Lite-ON - DVD-ROM LTD-166S	+12	37	100%
LITE-ON - BD O DH4O1S	+6	13	100%
LITE-ON - BD B LH-2B1S	+618	19	100%
LITE-ON - CD N LH52N1P	+6	7	100%
LITE-ON - CD R LH52R1P	+6	18	100%
LITE-ON - CD-ROM LTN-487T	+12	14	100%
LITE-ON - CD-ROM LTN-4891S	+6	23	100%
LITE-ON - CD-ROM LTN-489S	+12	53	100%
LITE-ON - CD-ROM LTN-527T	+12	10	100%
LITE-ON - CD-ROM LTN-5291S	+6	13	100%
LITE-ON - CD-ROM LTN-529S	+12	17	100%
LITE-ON - CD-ROM LTN-529SV	+12	1	100%
LITE-ON - CD-ROM LTN-52S1S	+6	20	100%
LITE-ON - CD-RW SOHR-4838S	+6	2	100%
LITE-ON - CD-RW SOHR-4839S	+6	8	100%
LITE-ON - CD-RW SOHR-4839V	+6	1	100%
LITE-ON - CD-RW SOHR-5238S	+6	202	100%
LITE-ON - CD-RW SOHR-5239S	+6	55	100%
LITE-ON - CD-RW SOHR-5239V	+6	122	100%
LITE-ON - COMBO LTC-48161H	+6	184	100%
LITE-ON - COMBO SHC-48S7K	+6	7	100%
LITE-ON - COMBO SHC-52S7K	+6	8	100%
LITE-ON - COMBO SOHC-4832K	+6	55	100%
LITE-ON - COMBO SOHC-4836K	+6	58	100%
LITE-ON - COMBO SOHC-4836V	+6	16	100%
LITE-ON - COMBO SOHC-5232K	+6	142	100%
LITE-ON - COMBO SOHC-5235K	+6	38	100%
LITE-ON - COMBO SOHC-5236K	+6	26	100%
LITE-ON - COMBO SOHC-5236V	+6	78	100%
lite-on - DDU605U	+667	1	100%
LITE-ON - DVD A DH20A4H	+6	2	100%
LITE-ON - DVD C LH52C1P	+6	16	100%
LITE-ON - DVD D LH-16D1P	+6	53	100%
LITE-ON - DVD SHD-16P1S	+6	143	100%
LITE-ON - DVD SHD-16S1S	+6	54	100%
